sp	matK	rbcL	ndhF	trnL-F	ITS
2764	3955	2711	2700	FAIL	FAIL	
3536	FAIL	3527	1874	FAIL	3527	
C-280	C-86	C-86	C-86	FAIL	C-69	
C-86	C-313	C-17	C-17	C-313	C-69	
C-342	C-136	C-136	C-136	C-21	C-21	
1525	FAIL	FAIL	FAIL	FAIL	FAIL	
C-313	C-86	C-86	C-69	FAIL	C-69	
C-259	C-40	C-40	C-40	C-40	C-32	
C-265	C-263	C-263	C-263	FAIL	C-414	
C-48	C-64	C-181	C-130	FAIL	C-181	
C-251	FAIL	C-40	C-40	FAIL	C-259	
C-64	C-265	C-263	C-263	C-263	C-414	
C-365	C-393	C-393	C-393	FAIL	C-393	
C-129	C-127	C-127	C-127	C-365	C-127	
C-303	C-48	C-130	C-130	FAIL	C-414	
C-227	C-32	C-251	C-32	FAIL	C-259	
C-127	C-296	C-296	C-129	C-129	C-296	
C-271	C-365	C-393	C-365	C-365	C-393	
C-136	C-21	C-21	C-21	FAIL	C-21	
3419	3423	743	3676	FAIL	3423	
C-263	C-64	C-136	C-265	C-265	C-64	
1503	2657	1314	2657	FAIL	FAIL	
C-40	C-32	C-251	C-259	C-69	C-259	
C-296	C-127	C-127	C-127	C-127	C-127	
3545	FAIL	FAIL	FAIL	FAIL	3349	
C-69	C-86	C-86	C-86	C-313	C-17	
2095	3431	3970	1703	FAIL	3980	
C-130	C-48	C-303	C-303	C-181	C-414	
C-17	C-86	C-86	C-313	FAIL	C-69	
C-32	FAIL	C-40	C-40	FAIL	C-259	
1102	69	69	69	69	2650	
C-181	C-86	C-48	C-130	FAIL	C-48	
C-21	C-136	C-136	C-136	C-342	C-136	
1860	FAIL	FAIL	FAIL	FAIL	1853	
2711	3955	2764	3955	FAIL	2700	
3279	3301	1860	3431	FAIL	3980	
1610	FAIL	FAIL	FAIL	FAIL	1570	
3966	3452	3452	682	3452	3452	
3606	S-80	FAIL	FAIL	FAIL	1905	
C-239	C-387	C-387	C-387	C-387	C-387	
C-387	C-239	C-239	C-239	C-239	C-239	
2960	FAIL	FAIL	FAIL	FAIL	1850	
3338	1531	777	1703	FAIL	1531	
C-393	C-365	C-365	C-365	FAIL	C-271	
C-500	C-387	C-387	C-387	FAIL	C-387	
3970	FAIL	FAIL	FAIL	FAIL	S-82	
170	1102	69	2650	69	2650	
2693	2764	FAIL	2764	FAIL	2711	
2311	2909	2909	2909	FAIL	2272	
3676	2942	2942	2942	2942	2942	
3527	3536	3536	3536	FAIL	FAIL	
2700	2764	2711	2693	3955	2711	
4004	1176	821	174	FAIL	1176	
3980	FAIL	FAIL	FAIL	FAIL	3279	
3129	FAIL	FAIL	FAIL	FAIL	FAIL	
1770	679	2831	679	FAIL	1774	
3341	FAIL	FAIL	FAIL	FAIL	FAIL	
1716	FAIL	FAIL	FAIL	FAIL	1705	
3955	2764	2764	2711	FAIL	3536	
1705	FAIL	777	FAIL	FAIL	3600	
3234	3230	3230	3230	1556	3230	
1915	3342	3342	821	FAIL	743	
3935	679	2168	2831	FAIL	FAIL	
3301	3279	3279	3279	FAIL	3980	
3230	3234	3234	3234	3384	FAIL	
2168	679	1770	2831	FAIL	679	
3729	FAIL	FAIL	FAIL	FAIL	FAIL	
2831	679	679	1703	FAIL	679	
1739	FAIL	FAIL	FAIL	FAIL	FAIL	
1182	FAIL	FAIL	FAIL	FAIL	FAIL	
1502	3121	3121	3121	3121	3121	
1531	3518	1534	3338	FAIL	3518	
777	3431	3431	3431	FAIL	3431	
845	FAIL	FAIL	FAIL	FAIL	3980	
533	FAIL	FAIL	3375	FAIL	3980	
3448	FAIL	FAIL	FAIL	FAIL	FAIL	
679	FAIL	FAIL	FAIL	FAIL	FAIL	
3211	176	69	168	69	2650	
2763	2764	2711	2711	FAIL	2711	
3231	3386	3386	4004	FAIL	3386	
3316	FAIL	FAIL	FAIL	FAIL	FAIL	
3423	944	944	3676	FAIL	3129	
3349	3211	655	655	FAIL	3545	
1165	FAIL	FAIL	FAIL	FAIL	3600	
2794	FAIL	FAIL	FAIL	FAIL	2711	
3386	270	FAIL	3384	FAIL	3231	
3384	FAIL	FAIL	FAIL	FAIL	3230	
3345	FAIL	FAIL	FAIL	FAIL	2711	
3679	3680	3680	3680	FAIL	3680	
3342	3122	3519	3235	3341	3340	
1661	1386	1382	1386	1386	1382	
3518	FAIL	FAIL	3640	FAIL	1531	
1386	1382	1661	1661	1661	1382	
C-414	C-303	C-303	C-303	FAIL	C-303	
3444	FAIL	3729	FAIL	FAIL	FAIL	
3594	3353	747	706	FAIL	1162	
2272	2906	2909	2909	FAIL	2279	
3220	2100	3609	2985	FAIL	FAIL	
3353	3594	747	3594	FAIL	1162	
270	1382	821	1661	1386	1382	
1774	1770	1770	1770	FAIL	1770	
3447	3316	3448	654	FAIL	FAIL	
3600	1705	FAIL	FAIL	FAIL	1165	
3680	3679	3679	3121	3679	3679	
1740	1739	679	1739	FAIL	3729	
1382	1324	1661	1386	FAIL	270	
3595	777	743	944	FAIL	777	
1556	3234	3230	3234	3386	3230	
644	1590	1540	777	FAIL	1590	
1324	FAIL	FAIL	FAIL	FAIL	FAIL	
706	FAIL	FAIL	FAIL	FAIL	FAIL	
654	FAIL	FAIL	FAIL	FAIL	FAIL	
176	3211	69	3211	3211	2650	
3431	1525	777	1525	1525	1525	
3121	1502	1502	1502	1502	3680	
2065	743	1936	743	FAIL	1936	
3609	FAIL	FAIL	1939	FAIL	FAIL	
1534	3518	1531	3518	FAIL	3518	
3122	1176	1174	1174	FAIL	1174	
710	3345	3345	3345	FAIL	FAIL	
1717	2647	2985	2647	C-86	FAIL	
655	FAIL	FAIL	FAIL	FAIL	FAIL	
2942	3423	3676	3676	FAIL	3676	
174	FAIL	FAIL	FAIL	FAIL	FAIL	
2909	2279	2906	2906	2279	2272	
682	3966	3966	3966	FAIL	3357	
3452	3966	3966	3966	FAIL	FAIL	
2907	2311	2909	2909	FAIL	2272	
1240	FAIL	FAIL	FAIL	FAIL	3527	
3340	3342	3342	4004	FAIL	3342	
1936	3342	3230	743	FAIL	2065	
3356	596	706	706	FAIL	706	
2827	FAIL	FAIL	FAIL	FAIL	FAIL	
69	1102	1102	2650	1102	1102	
743	3340	3342	821	FAIL	1915	
1570	FAIL	FAIL	FAIL	FAIL	FAIL	
1905	FAIL	FAIL	FAIL	FAIL	3606	
747	3594	3594	3594	FAIL	3594	
2798	3345	3345	3345	FAIL	3345	
3640	1610	1610	1703	FAIL	1570	
3013	FAIL	FAIL	FAIL	FAIL	FAIL	
2985	FAIL	FAIL	FAIL	FAIL	C-129	
2100	1702	743	1699	1699	S-20	
1939	1240	S-58	1240	FAIL	3606	
944	3423	3423	777	FAIL	FAIL	
3235	FAIL	FAIL	FAIL	FAIL	FAIL	
746	FAIL	FAIL	FAIL	FAIL	1678	
1877	FAIL	FAIL	FAIL	FAIL	1944	
1845	1860	1860	706	FAIL	1860	
2650	1102	1102	69	69	1102	
1702	2100	1679	1699	FAIL	1699	
1285	3341	1936	4004	FAIL	3342	
2906	2909	2909	2272	FAIL	2907	
1162	FAIL	FAIL	FAIL	FAIL	3594	
1853	1845	1860	S-8	FAIL	1860	
1699	2100	2100	2100	1702	1702	
1314	2657	2657	3375	FAIL	FAIL	
2647	3955	1653	1717	1717	FAIL	
1874	1850	3536	3536	FAIL	1946	
1653	FAIL	FAIL	FAIL	FAIL	FAIL	
1590	FAIL	FAIL	FAIL	FAIL	644	
1678	FAIL	FAIL	FAIL	FAIL	FAIL	
168	1102	3211	170	3211	2650	
1676	1678	618	746	1678	618	
1703	FAIL	FAIL	FAIL	FAIL	1702	
1928	FAIL	FAIL	FAIL	FAIL	FAIL	
821	743	2065	743	3386	1915	
1582	2207	2207	2207	1717	FAIL	
2657	FAIL	FAIL	FAIL	FAIL	1314	
1174	3122	3122	3122	4004	3122	
2207	FAIL	FAIL	FAIL	FAIL	FAIL	
1176	3122	4004	4004	FAIL	4004	
618	FAIL	FAIL	FAIL	FAIL	1678	
3375	2657	1314	760	FAIL	1314	
596	3356	706	706	FAIL	3356	
1677	1678	1678	746	1678	1678	
760	FAIL	FAIL	FAIL	FAIL	FAIL	
1944	FAIL	FAIL	FAIL	FAIL	1877	
1543	1503	1503	1503	1503	FAIL	
1850	3536	3536	2960	3536	2960	
1089	FAIL	FAIL	FAIL	FAIL	FAIL	
2279	2909	2909	2909	FAIL	2272	
1946	FAIL	FAIL	FAIL	FAIL	1874	
1679	2100	1702	1702	1703	1702	
1538	644	1702	1703	FAIL	1590	
