sp	matK	rbcL	ndhF	trnL-F	ITS
174	FAIL	FAIL	FAIL	FAIL	FAIL	
2909	2906	2906	2906	FAIL	FAIL	
682	3966	1928	3966	FAIL	FAIL	
3452	3966	3966	FAIL	FAIL	FAIL	
2907	2311	2909	2909	FAIL	2272	
1240	FAIL	FAIL	FAIL	FAIL	FAIL	
3340	3341	3342	4004	FAIL	3342	
1936	FAIL	FAIL	FAIL	FAIL	FAIL	
3356	FAIL	FAIL	FAIL	FAIL	FAIL	
2827	FAIL	FAIL	FAIL	FAIL	FAIL	
69	1102	1102	2650	1102	1102	
743	FAIL	FAIL	FAIL	FAIL	1915	
1570	FAIL	FAIL	FAIL	FAIL	FAIL	
1905	FAIL	FAIL	FAIL	FAIL	FAIL	
747	FAIL	3594	3594	FAIL	FAIL	
2798	3345	3345	710	FAIL	2711	
3640	FAIL	FAIL	FAIL	FAIL	1570	
3013	FAIL	FAIL	FAIL	FAIL	FAIL	
2985	FAIL	FAIL	FAIL	FAIL	1165	
2100	1702	1699	1699	FAIL	1543	
1939	FAIL	FAIL	FAIL	FAIL	FAIL	
944	FAIL	S-59	760	FAIL	FAIL	
3235	FAIL	FAIL	FAIL	FAIL	FAIL	
746	FAIL	FAIL	FAIL	FAIL	FAIL	
1877	FAIL	FAIL	FAIL	FAIL	1944	
1845	FAIL	FAIL	FAIL	FAIL	FAIL	
2650	176	69	170	69	1102	
1702	2100	777	3375	FAIL	1699	
1285	FAIL	4004	FAIL	FAIL	FAIL	
2906	2909	2909	2909	FAIL	2907	
1162	FAIL	FAIL	FAIL	FAIL	FAIL	
1853	FAIL	FAIL	FAIL	FAIL	FAIL	
1699	2100	3518	2100	FAIL	1702	
1314	FAIL	FAIL	FAIL	FAIL	FAIL	
2647	FAIL	FAIL	FAIL	FAIL	FAIL	
1874	FAIL	FAIL	FAIL	FAIL	1946	
1653	FAIL	FAIL	FAIL	FAIL	FAIL	
1590	FAIL	FAIL	FAIL	FAIL	644	
1678	FAIL	FAIL	FAIL	FAIL	FAIL	
168	1102	69	170	3211	2650	
1676	FAIL	FAIL	FAIL	FAIL	1678	
1703	FAIL	FAIL	FAIL	FAIL	FAIL	
1928	FAIL	FAIL	FAIL	FAIL	FAIL	
821	743	1936	743	3386	743	
1582	FAIL	FAIL	FAIL	FAIL	FAIL	
2657	FAIL	FAIL	FAIL	FAIL	1314	
1174	3122	4004	3340	FAIL	FAIL	
2207	FAIL	FAIL	FAIL	FAIL	FAIL	
1176	4004	4004	1915	FAIL	4004	
618	FAIL	FAIL	FAIL	FAIL	FAIL	
3375	FAIL	FAIL	FAIL	FAIL	FAIL	
596	FAIL	FAIL	FAIL	FAIL	3356	
1677	FAIL	FAIL	FAIL	FAIL	FAIL	
760	FAIL	FAIL	FAIL	FAIL	FAIL	
1944	FAIL	FAIL	FAIL	FAIL	1877	
1543	FAIL	FAIL	FAIL	FAIL	FAIL	
1850	FAIL	FAIL	FAIL	FAIL	FAIL	
1089	FAIL	FAIL	FAIL	FAIL	FAIL	
2279	2909	2906	2909	FAIL	2272	
1946	FAIL	FAIL	FAIL	FAIL	FAIL	
1679	2100	3518	2100	FAIL	1702	
1538	1590	644	3431	FAIL	1590	
3357	FAIL	FAIL	FAIL	FAIL	3966	
1540	644	644	644	FAIL	FAIL	
3519	3342	3342	743	FAIL	FAIL	
sp	matK	rbcL	ndhF	trnL-F	ITS
ITS	FAIL	FAIL	FAIL	FAIL	FAIL	
2711	FAIL	FAIL	FAIL	FAIL	FAIL	
3527	FAIL	FAIL	FAIL	FAIL	FAIL	
C-69	FAIL	FAIL	FAIL	FAIL	FAIL	
C-69	FAIL	FAIL	FAIL	FAIL	FAIL	
C-21	FAIL	FAIL	FAIL	FAIL	FAIL	
3431	FAIL	FAIL	FAIL	FAIL	FAIL	
C-69	FAIL	FAIL	FAIL	FAIL	FAIL	
C-32	FAIL	FAIL	FAIL	FAIL	FAIL	
C-414	FAIL	FAIL	FAIL	FAIL	FAIL	
C-181	FAIL	FAIL	FAIL	FAIL	FAIL	
C-259	FAIL	FAIL	FAIL	FAIL	FAIL	
C-414	FAIL	FAIL	FAIL	FAIL	FAIL	
C-393	FAIL	FAIL	FAIL	FAIL	FAIL	
C-127	FAIL	FAIL	FAIL	FAIL	FAIL	
C-414	FAIL	FAIL	FAIL	FAIL	FAIL	
C-40	FAIL	FAIL	FAIL	FAIL	FAIL	
C-129	FAIL	FAIL	FAIL	FAIL	FAIL	
C-393	FAIL	FAIL	FAIL	FAIL	FAIL	
C-21	FAIL	FAIL	FAIL	FAIL	FAIL	
1531	FAIL	FAIL	FAIL	FAIL	FAIL	
C-64	FAIL	FAIL	FAIL	FAIL	FAIL	
1314	FAIL	FAIL	FAIL	FAIL	FAIL	
C-259	FAIL	FAIL	FAIL	FAIL	FAIL	
C-127	FAIL	FAIL	FAIL	FAIL	FAIL	
3349	FAIL	FAIL	FAIL	FAIL	FAIL	
C-17	FAIL	FAIL	FAIL	FAIL	FAIL	
3980	FAIL	FAIL	FAIL	FAIL	FAIL	
C-414	FAIL	FAIL	FAIL	FAIL	FAIL	
C-69	FAIL	FAIL	FAIL	FAIL	FAIL	
C-259	FAIL	FAIL	FAIL	FAIL	FAIL	
2650	FAIL	FAIL	FAIL	FAIL	FAIL	
C-48	FAIL	FAIL	FAIL	FAIL	FAIL	
C-136	FAIL	FAIL	FAIL	FAIL	FAIL	
1853	FAIL	FAIL	FAIL	FAIL	FAIL	
2700	FAIL	FAIL	FAIL	FAIL	FAIL	
3980	FAIL	FAIL	FAIL	FAIL	FAIL	
1570	FAIL	FAIL	FAIL	FAIL	FAIL	
3357	FAIL	FAIL	FAIL	FAIL	FAIL	
1905	FAIL	FAIL	FAIL	FAIL	FAIL	
C-387	FAIL	FAIL	FAIL	FAIL	FAIL	
C-239	FAIL	FAIL	FAIL	FAIL	FAIL	
1850	FAIL	FAIL	FAIL	FAIL	FAIL	
1531	FAIL	FAIL	FAIL	FAIL	FAIL	
C-271	FAIL	FAIL	FAIL	FAIL	FAIL	
C-387	FAIL	FAIL	FAIL	FAIL	FAIL	
1716	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
2711	FAIL	FAIL	FAIL	FAIL	FAIL	
2272	FAIL	FAIL	FAIL	FAIL	FAIL	
2942	FAIL	FAIL	FAIL	FAIL	FAIL	
1850	FAIL	FAIL	FAIL	FAIL	FAIL	
2711	FAIL	FAIL	FAIL	FAIL	FAIL	
1176	FAIL	FAIL	FAIL	FAIL	FAIL	
3279	FAIL	FAIL	FAIL	FAIL	FAIL	
1774	FAIL	FAIL	FAIL	FAIL	FAIL	
1774	FAIL	FAIL	FAIL	FAIL	FAIL	
3342	FAIL	FAIL	FAIL	FAIL	FAIL	
1705	FAIL	FAIL	FAIL	FAIL	FAIL	
3536	FAIL	FAIL	FAIL	FAIL	FAIL	
1165	FAIL	FAIL	FAIL	FAIL	FAIL	
3230	FAIL	FAIL	FAIL	FAIL	FAIL	
743	FAIL	FAIL	FAIL	FAIL	FAIL	
679	FAIL	FAIL	FAIL	FAIL	FAIL	
3980	FAIL	FAIL	FAIL	FAIL	FAIL	
3234	FAIL	FAIL	FAIL	FAIL	FAIL	
679	FAIL	FAIL	FAIL	FAIL	FAIL	
sp	matK	rbcL	ndhF	trnL-F	ITS
ITS	FAIL	FAIL	FAIL	FAIL	FAIL	
2711	FAIL	FAIL	FAIL	FAIL	FAIL	
3527	FAIL	FAIL	FAIL	FAIL	FAIL	
C-69	FAIL	FAIL	FAIL	FAIL	FAIL	
C-69	FAIL	FAIL	FAIL	FAIL	FAIL	
C-21	FAIL	FAIL	FAIL	FAIL	FAIL	
3431	FAIL	FAIL	FAIL	FAIL	FAIL	
C-69	FAIL	FAIL	FAIL	FAIL	FAIL	
C-32	FAIL	FAIL	FAIL	FAIL	FAIL	
C-414	FAIL	FAIL	FAIL	FAIL	FAIL	
C-181	FAIL	FAIL	FAIL	FAIL	FAIL	
C-259	FAIL	FAIL	FAIL	FAIL	FAIL	
C-414	FAIL	FAIL	FAIL	FAIL	FAIL	
C-393	FAIL	FAIL	FAIL	FAIL	FAIL	
C-127	FAIL	FAIL	FAIL	FAIL	FAIL	
C-414	FAIL	FAIL	FAIL	FAIL	FAIL	
C-40	FAIL	FAIL	FAIL	FAIL	FAIL	
C-296	FAIL	FAIL	FAIL	FAIL	FAIL	
C-393	FAIL	FAIL	FAIL	FAIL	FAIL	
C-21	FAIL	FAIL	FAIL	FAIL	FAIL	
1531	FAIL	FAIL	FAIL	FAIL	FAIL	
C-64	FAIL	FAIL	FAIL	FAIL	FAIL	
1314	FAIL	FAIL	FAIL	FAIL	FAIL	
C-259	FAIL	FAIL	FAIL	FAIL	FAIL	
C-127	FAIL	FAIL	FAIL	FAIL	FAIL	
3349	FAIL	FAIL	FAIL	FAIL	FAIL	
C-17	FAIL	FAIL	FAIL	FAIL	FAIL	
3980	FAIL	FAIL	FAIL	FAIL	FAIL	
C-414	FAIL	FAIL	FAIL	FAIL	FAIL	
C-69	FAIL	FAIL	FAIL	FAIL	FAIL	
C-259	FAIL	FAIL	FAIL	FAIL	FAIL	
2650	FAIL	FAIL	FAIL	FAIL	FAIL	
C-48	FAIL	FAIL	FAIL	FAIL	FAIL	
C-136	FAIL	FAIL	FAIL	FAIL	FAIL	
1853	FAIL	FAIL	FAIL	FAIL	FAIL	
2700	FAIL	FAIL	FAIL	FAIL	FAIL	
3980	FAIL	FAIL	FAIL	FAIL	FAIL	
1570	FAIL	FAIL	FAIL	FAIL	FAIL	
3357	FAIL	FAIL	FAIL	FAIL	FAIL	
1905	FAIL	FAIL	FAIL	FAIL	FAIL	
C-387	FAIL	FAIL	FAIL	FAIL	FAIL	
C-239	FAIL	FAIL	FAIL	FAIL	FAIL	
1850	FAIL	FAIL	FAIL	FAIL	FAIL	
1531	FAIL	FAIL	FAIL	FAIL	FAIL	
C-271	FAIL	FAIL	FAIL	FAIL	FAIL	
C-387	FAIL	FAIL	FAIL	FAIL	FAIL	
1716	FAIL	FAIL	FAIL	FAIL	FAIL	
2650	FAIL	FAIL	FAIL	FAIL	FAIL	
2711	FAIL	FAIL	FAIL	FAIL	FAIL	
2272	FAIL	FAIL	FAIL	FAIL	FAIL	
2942	FAIL	FAIL	FAIL	FAIL	FAIL	
1850	FAIL	FAIL	FAIL	FAIL	FAIL	
2711	FAIL	FAIL	FAIL	FAIL	FAIL	
