sp	matK	rbcL	ndhF	trnL-F	ITS
S-33	FAIL	FAIL	FAIL	FAIL	FAIL
S-34	F	F	F	FAIL	FAIL
S-35	FAIL	FAIL	FAIL	FAIL	T
S-36	FAIL	F	F	FAIL	T
S-37	FAIL	FAIL	FAIL	FAIL	F
S-38	FAIL	F	FAIL	FAIL	FAIL
S-39	FAIL	FAIL	FAIL	FAIL	F
S-40	FAIL	FAIL	FAIL	FAIL	F
S-41	FAIL	FAIL	FAIL	FAIL	T
S-42	F	F	F	FAIL	T
S-43	FAIL	F	F	FAIL	T
S-44	FAIL	F	F	FAIL	T
S-45	F	T	F	FAIL	T
S-46	FAIL	FAIL	FAIL	FAIL	T
S-47	F	F	F	FAIL	T
S-48	F	F	F	FAIL	F
S-49	F	F	F	FAIL	T
S-50	FAIL	F	F	FAIL	T
S-51	F	F	F	FAIL	F
S-52	FAIL	FAIL	FAIL	FAIL	T
S-53	FAIL	F	F	FAIL	F
S-54	FAIL	FAIL	FAIL	FAIL	F
S-55	F	F	F	FAIL	T
S-56	FAIL	FAIL	FAIL	FAIL	F
S-57	FAIL	FAIL	FAIL	FAIL	F
S-58	FAIL	FAIL	FAIL	FAIL	F
S-59	F	F	T	FAIL	F
S-60	FAIL	FAIL	FAIL	FAIL	T
S-61	F	FAIL	F	FAIL	FAIL
S-62	F	F	F	FAIL	F
S-63	FAIL	FAIL	FAIL	FAIL	F
S-64	FAIL	FAIL	FAIL	FAIL	F
S-65	FAIL	FAIL	FAIL	FAIL	F
S-66	F	F	F	FAIL	FAIL
S-67	FAIL	F	F	FAIL	FAIL
S-68	FAIL	FAIL	FAIL	FAIL	FAIL
S-69	F	F	F	FAIL	F
S-70	FAIL	FAIL	FAIL	FAIL	FAIL
S-71	FAIL	FAIL	FAIL	FAIL	T
S-72	F	F	F	FAIL	FAIL
S-73	FAIL	FAIL	FAIL	FAIL	F
S-74	FAIL	FAIL	FAIL	FAIL	F
S-75	FAIL	FAIL	FAIL	FAIL	F
S-76	FAIL	FAIL	FAIL	FAIL	F
S-77	FAIL	FAIL	FAIL	FAIL	F
S-78	FAIL	FAIL	FAIL	FAIL	FAIL
S-79	FAIL	FAIL	FAIL	FAIL	F
S-80	F	FAIL	F	FAIL	FAIL
S-81	FAIL	FAIL	FAIL	FAIL	T
S-82	F	FAIL	F	FAIL	F
S-83	FAIL	FAIL	FAIL	FAIL	T
S-84	FAIL	FAIL	FAIL	FAIL	F
S-85	FAIL	F	F	FAIL	F
S-86	FAIL	FAIL	FAIL	FAIL	F
S-87	F	F	F	FAIL	T
S-88	F	F	F	FAIL	T
S-89	F	F	T	FAIL	T
S-90	FAIL	FAIL	FAIL	FAIL	F
S-91	F	T	F	FAIL	FAIL
S-92	FAIL	T	T	FAIL	F
S-93	FAIL	FAIL	FAIL	FAIL	FAIL
S-94	T	T	F	FAIL	FAIL
S-95	F	T	FAIL	FAIL	FAIL
S-96	F	F	F	FAIL	F
S-97	FAIL	T	F	FAIL	FAIL
S-98	FAIL	T	F	FAIL	FAIL
S-99	T	T	F	FAIL	T
S-100	F	T	T	FAIL	T
